function,ne,d1d,q1d,raised_iterations,native_iterations,correctness,raised_runtime_us,mfem_native_runtime_us,raised_over_native,native_components,comparison_quality,comparison_scope,hardware,measurement_statistic
mfem_app_mtop_iso_elasticity_dfem_2d,1024,4,5,5,,PASS,9758.188855,,,interpolation+elasticity_qpoint+integration,UNAVAILABLE,no equivalent public MFEM CUDA PA microkernel entry point,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,median_of_5_process_means_20260902
mfem_app_dfem_minimal_surface_2d,1024,4,5,5,,FAIL,,,,interpolation+minimal_surface_qpoint+integration,CORRECTNESS_FAIL,raised timing withheld because max_abs=max_rel=0.19645498711635398 at NE=1024,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,5_process_trials_20260902
mfem_app_ex35p_h1_3d,1024,4,5,5,20,PASS,31920.531206,438.400000,72.811,diffusion_apply_3d+mass_apply_3d,SAFE_PAIRWISE_FALLBACK,native baseline is the sum of corrected synchronized resident MFEM CUDA component medians,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,raised_median_of_5_process_means_vs_native_component_medians_20260902
mfem_app_ex35p_hcurl_3d,1024,4,5,5,20,PASS,149794.080015,25956.704000,5.771,curlcurl_apply_3d+hcurl_mass_apply_3d,COMPONENT_SUM,sum of corrected synchronized resident MFEM CUDA component medians,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,raised_median_of_5_process_means_vs_native_component_medians_20260902
mfem_app_ex35p_hdiv_3d,1024,4,5,5,20,PASS,87842.182349,1352.448000,64.951,divdiv_apply_3d+hdiv_mass_apply_3d,COMPONENT_SUM,sum of corrected synchronized resident MFEM CUDA component medians,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,raised_median_of_5_process_means_vs_native_component_medians_20260902
mfem_app_ex9p_mass_convection_2d,1024,4,5,5,20,PASS,5261.792056,82.304000,63.931,mass_apply_2d+convection_apply_2d,PARTIAL_COMPONENT_SUM,native baseline covers PA operators only while raised timing also includes one PCG algebra iteration,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,raised_median_of_5_process_means_vs_native_component_medians_20260902
mfem_app_grad_div_3d,1024,4,5,5,20,PASS,77659.270447,1352.448000,57.421,divdiv_apply_3d+hdiv_mass_apply_3d,COMPONENT_SUM,sum of corrected synchronized resident MFEM CUDA component medians,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,raised_median_of_5_process_means_vs_native_component_medians_20260902
mfem_app_abs_l1_mass_3d,1024,4,5,5,20,PASS,7785.555162,134.944000,57.695,mass_apply_3d,EXACT_OPERATOR,fresh corrected end-to-end build; native is corrected synchronized resident MFEM CUDA median,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,raised_median_of_5_process_means_vs_native_best_of_20_medians_20260902
mfem_app_abs_l1_diffusion_3d,1024,4,5,5,20,PASS,22675.577551,303.456000,74.724,diffusion_apply_3d,EXACT_OPERATOR,fresh corrected end-to-end build; native is corrected synchronized resident MFEM CUDA median,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,raised_median_of_5_process_means_vs_native_best_of_20_medians_20260902
mfem_app_abs_l1_curlcurl_3d,1024,4,5,5,20,PASS,123984.857555,25956.704000,4.777,curlcurl_apply_3d+hcurl_mass_apply_3d,COMPONENT_SUM,sum of corrected synchronized resident MFEM CUDA component medians,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,raised_median_of_5_process_means_vs_native_component_medians_20260902
mfem_app_navier_tgv_pa_operators_3d,1024,4,5,5,,PASS,446872.742381,,,vector_mass+vector_diffusion+nonlinear_convection+pressure_diffusion+divergence+gradient,UNAVAILABLE,fresh corrected end-to-end build; equivalent native MFEM application baseline unavailable,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,median_of_5_process_means_20260902
