id,function,family,dimension,debufferize_ok,matcher_ok,linalg_ops,matcher_bodies,matched_groups,matched_symbols,kernel_launches,launch_symbols,error
convection_apply_2d_stage_sliced,mfem_pa_convection_apply_2d_stage_sliced,partial_assembly,2,True,True,26,13,1,cublasDaxpby,1,cublasDaxpby,
convection_apply_3d_stage_sliced,mfem_pa_convection_apply_3d_stage_sliced,partial_assembly,3,True,True,46,13,11,"cublasGemmFor1x1Conv,cudnnAddTensor_batched",11,"cudnnAddTensor_batched,cutensornetContraction2_f64_r4r5r4,cutensornetContraction2_f64_r5r5r4",
curlcurl_apply_2d_stage_sliced,mfem_pa_curlcurl_apply_2d_stage_sliced,de_rham,2,True,True,36,18,2,cublasDaxpby,2,cublasDaxpby,
curlcurl_apply_3d_stage_sliced,mfem_pa_curlcurl_apply_3d_stage_sliced,de_rham,3,True,True,146,44,29,cublasGemmFor1x1Conv,29,"cutensornetContraction2_f64_r4r5r4,cutensornetContraction2_f64_r5r5r4",
diffusion_apply_2d_stage_sliced,mfem_pa_diffusion_apply_2d_stage_sliced,partial_assembly,2,True,True,34,17,0,,0,,
diffusion_apply_3d_stage_sliced,mfem_pa_diffusion_apply_3d_stage_sliced,partial_assembly,3,True,True,70,21,14,cublasGemmFor1x1Conv,14,"cutensornetContraction2_f64_r4r5r4,cutensornetContraction2_f64_r5r5r4",
divdiv_apply_2d_stage_sliced,mfem_pa_divdiv_apply_2d_stage_sliced,de_rham,2,True,True,36,18,2,cublasDaxpby,2,cublasDaxpby,
divdiv_apply_3d_stage_sliced,mfem_pa_divdiv_apply_3d_stage_sliced,de_rham,3,True,True,66,21,12,cublasGemmFor1x1Conv,12,"cutensornetContraction2_f64_r4r5r4,cutensornetContraction2_f64_r5r5r4",
elasticity_qpoint_2d_scalarized,mfem_elasticity_qpoint_2d_scalarized,quadrature_function,2,True,True,8,4,0,,0,,
elasticity_qpoint_3d_scalarized,mfem_elasticity_qpoint_3d_scalarized,quadrature_function,3,True,True,18,9,0,,0,,
integrate_grad_2d_stage_sliced,mfem_integrate_grad_2d_stage_sliced,sum_factorization,2,True,True,18,9,0,,0,,
integrate_grad_3d_stage_sliced,mfem_integrate_grad_3d_stage_sliced,sum_factorization,3,True,True,38,10,9,cublasGemmFor1x1Conv,9,"cutensornetContraction2_f64_r4r5r4,cutensornetContraction2_f64_r5r5r4",
integrate_value_2d_scratch_sliced,mfem_integrate_value_2d_scratch_sliced,sum_factorization,2,True,True,6,3,0,,0,,
integrate_value_3d_scratch_sliced,mfem_integrate_value_3d_scratch_sliced,sum_factorization,3,True,True,10,3,2,cublasGemmFor1x1Conv,2,"cutensornetContraction2_f64_r4r5r4,cutensornetContraction2_f64_r5r5r4",
interp_grad_2d_stage_sliced,mfem_interp_grad_2d_stage_sliced,sum_factorization,2,True,True,16,8,0,,0,,
interp_grad_3d_stage_sliced,mfem_interp_grad_3d_stage_sliced,sum_factorization,3,True,True,32,11,8,cublasGemmFor1x1Conv,5,"cutensornetContraction2_f64_r4r5r4,cutensornetContraction2_f64_r5r5r4",
interp_value_2d_scratch_sliced,mfem_interp_value_2d_scratch_sliced,sum_factorization,2,True,True,8,4,0,,0,,
interp_value_3d_scratch_sliced,mfem_interp_value_3d_scratch_sliced,sum_factorization,3,True,True,12,4,3,cublasGemmFor1x1Conv,2,"cutensornetContraction2_f64_r4r5r4,cutensornetContraction2_f64_r5r5r4",
mass_apply_2d_stage_sliced,mfem_pa_mass_apply_2d_stage_sliced,partial_assembly,2,True,True,16,8,0,,0,,
mass_apply_3d_stage_sliced,mfem_pa_mass_apply_3d_stage_sliced,partial_assembly,3,True,True,24,7,5,cublasGemmFor1x1Conv,5,"cutensornetContraction2_f64_r5r4r4,cutensornetContraction2_f64_r5r5r4",
